GO3-HIGHS-Root-LP logging_enabled=1 highs_debug_level=0
Solving LP without presolve or useful basis
Scaling: Original equilibration: min/mean/max     0.01304/      1.197/        100 (cols); min/mean/max     0.01304/      2.318/        100 (rows)
Scaling: Final    equilibration: min/mean/max         0.5/      1.037/      2.076 (cols); min/mean/max      0.5043/      1.001/      1.981 (rows)
Scaling: Extreme equilibration improvement =      (        7671 +        7671) / (       4.152 +       3.927)  =        1.534e+04 /       8.079  =        1899
Scaling: Mean    equilibration improvement = sqrt((       1.197 *       2.318) / (       1.037 *       1.001)) = sqrt(      2.776 /       1.037) =       1.636
Scaling: Yields [min, max, ratio] matrix values of [0.0128, 64, 5000]; Originally [0.0001, 5885, 5.885e+07]: Improvement of 1.177e+04
Scaling: Improves    mean equilibration by a factor 1.636
Scaling: Improves extreme equilibration by a factor 1899
Scaling: Improves max/min matrix values by a factor 1.177e+04
Scaling: Factors are in [0.001953, 256] for columns and in [0.007812, 1024] for rows
Scaling: Improvement factor is 3.656e+07 >= 1 so scale LP
Using dual simplex solver
Cost perturbation for 
   Initially have 839144 nonzero costs ( 20%) with min / average / max = 0.00390625 / 23.8172 / 256
   Large so set max_abs_cost = sqrt(sqrt(max_abs_cost)) = 4
   Perturbation column base = 2e-06
   Perturbation row    base = 1e-12
DuPh2     410000    -8.3687009690e+05 Pr: 835321(10110.1); Du: 0(2.40241e-10) Update limit reached
DuPh2     415000    -8.3687009673e+05 Pr: 830389(9995.38); Du: 0(4.84106e-10) Update limit reached
DuPh2     420000    -8.3687009638e+05 Pr: 825395(9873.48); Du: 0(5.77101e-10) Update limit reached
DuPh2     425000    -8.3687009624e+05 Pr: 820418(9751.55); Du: 0(7.00105e-10) Update limit reached
DuPh2     430000    -8.3687009606e+05 Pr: 815476(9636.2); Du: 0(6.18364e-10) Update limit reached
DuPh2     435000    -8.3687009578e+05 Pr: 810501(9521.57); Du: 0(5.11301e-10) Update limit reached
DuPh2     440000    -8.3687009556e+05 Pr: 805518(9399.9); Du: 0(4.71786e-10) Update limit reached
DuPh2     445000    -8.3687009538e+05 Pr: 800571(9290.44); Du: 0(2.56484e-10) Update limit reached
DuPh2     449956    -8.3687009515e+05 Pr: 795675(9183.99); Du: 0(2.50829e-10) Synthetic clock
DuPh2     454956    -8.3687009487e+05 Pr: 790670(9069.21); Du: 0(2.50829e-10) Update limit reached
DuPh2     459956    -8.3687009482e+05 Pr: 785713(8957.61); Du: 0(1.1749e-10) Update limit reached
DuPh2     464860    -8.3687009463e+05 Pr: 780867(8856.99); Du: 0(2.30858e-10) Synthetic clock
DuPh2     469860    -8.3687009436e+05 Pr: 775875(8737.28); Du: 0(2.97274e-10) Update limit reached
DuPh2     474860    -8.3687009412e+05 Pr: 770900(8629.19); Du: 0(3.67653e-10) Update limit reached
DuPh2     479860    -8.3687009393e+05 Pr: 765962(8537.88); Du: 0(3.4764e-10) Update limit reached
DuPh2     484754    -8.3687009384e+05 Pr: 761131(8432.28); Du: 0(3.48695e-10) Synthetic clock
DuPh2     489754    -8.3687009351e+05 Pr: 756138(8329.34); Du: 0(3.48695e-10) Update limit reached
       Iteration        Objective     Infeasibilities num(sum)
DuPh2     494754    -8.3687009337e+05 Pr: 751155(8215.52); Du: 0(5.04878e-10) Update limit reached
DuPh2     499754    -8.3687009318e+05 Pr: 746213(8117.71); Du: 0(3.45889e-10) Update limit reached
DuPh2     504705    -8.3687009310e+05 Pr: 741318(8013.1); Du: 0(4.90393e-10) Synthetic clock
DuPh2     509705    -8.3687009279e+05 Pr: 736323(7915.05); Du: 0(4.90393e-10) Update limit reached
DuPh2     514705    -8.3687009262e+05 Pr: 731360(7817.91); Du: 0(5.10579e-10) Update limit reached
DuPh2     519705    -8.3687009243e+05 Pr: 726400(7719.99); Du: 0(1.72219e-10) Update limit reached
DuPh2     524701    -8.3687009237e+05 Pr: 721468(7625.04); Du: 0(4.01129e-10) Synthetic clock
DuPh2     529701    -8.3687009211e+05 Pr: 716474(7529.1); Du: 0(4.01129e-10) Update limit reached
DuPh2     534701    -8.3687009186e+05 Pr: 711474(7430.99); Du: 0(4.01129e-10) Update limit reached
DuPh2     539701    -8.3687009180e+05 Pr: 706519(7334.79); Du: 0(8.19193e-10) Update limit reached
DuPh2     544701    -8.3687009162e+05 Pr: 701574(7239.81); Du: 0(6.64735e-10) Update limit reached
DuPh2     549701    -8.3687009151e+05 Pr: 696610(7155.89); Du: 0(1.7043e-10) Update limit reached
DuPh2     554701    -8.3687009122e+05 Pr: 691612(7064.17); Du: 0(1.7043e-10) Update limit reached
DuPh2     559701    -8.3687009106e+05 Pr: 686632(6973.21); Du: 0(6.23956e-11) Update limit reached
DuPh2     564701    -8.3687009092e+05 Pr: 681699(6883.42); Du: 0(2.41161e-10) Update limit reached
DuPh2     569679    -8.3687009084e+05 Pr: 676770(6788.87); Du: 0(4.78862e-10) Synthetic clock
DuPh2     574636    -8.3687009066e+05 Pr: 671830(6700.86); Du: 0(3.2114e-10) Synthetic clock
DuPh2     579636    -8.3687009039e+05 Pr: 666839(6616.41); Du: 0(3.2114e-10) Update limit reached
DuPh2     584636    -8.3687009030e+05 Pr: 661862(6525.97); Du: 0(1.22129e-10) Update limit reached
DuPh2     589636    -8.3687009017e+05 Pr: 656913(6437.01); Du: 0(1.42519e-10) Update limit reached
DuPh2     594636    -8.3687009010e+05 Pr: 651971(6353.29); Du: 0(1.33717e-10) Update limit reached
DuPh2     599574    -8.3687008994e+05 Pr: 647070(6278.72); Du: 0(1.75828e-10) Synthetic clock
DuPh2     604574    -8.3687008968e+05 Pr: 642073(6193.71); Du: 0(1.75828e-10) Update limit reached
DuPh2     609574    -8.3687008958e+05 Pr: 637093(6109.36); Du: 0(1.49484e-10) Update limit reached
DuPh2     614574    -8.3687008948e+05 Pr: 632154(6017.47); Du: 0(9.49636e-11) Update limit reached
DuPh2     619574    -8.3687008943e+05 Pr: 627213(5943.08); Du: 0(2.95192e-10) Update limit reached
DuPh2     624574    -8.3687008927e+05 Pr: 622235(5856.37); Du: 0(3.54486e-10) Update limit reached
DuPh2     629574    -8.3687008903e+05 Pr: 617235(5775.71); Du: 0(3.54486e-10) Update limit reached
DuPh2     634574    -8.3687008891e+05 Pr: 612245(5693.44); Du: 0(3.52097e-10) Update limit reached
DuPh2     639574    -8.3687008887e+05 Pr: 607291(5619.34); Du: 0(2.19088e-10) Update limit reached
DuPh2     644574    -8.3687008879e+05 Pr: 602329(5542.81); Du: 0(2.50361e-10) Update limit reached
DuPh2     649447    -8.3687008874e+05 Pr: 597504(5470.3); Du: 0(2.86724e-10) Synthetic clock
DuPh2     654447    -8.3687008849e+05 Pr: 592509(5394.64); Du: 0(2.86724e-10) Update limit reached
DuPh2     659447    -8.3687008828e+05 Pr: 587524(5319.24); Du: 0(3.94458e-10) Update limit reached
DuPh2     664447    -8.3687008823e+05 Pr: 582577(5241.05); Du: 0(1.91324e-10) Update limit reached
DuPh2     669335    -8.3687008818e+05 Pr: 577735(5173.85); Du: 0(2.93099e-10) Synthetic clock
DuPh2     674335    -8.3687008813e+05 Pr: 572781(5096.36); Du: 0(2.93521e-10) Update limit reached
DuPh2     679254    -8.3687008798e+05 Pr: 567881(5025.87); Du: 0(2.73236e-10) Synthetic clock
DuPh2     684254    -8.3687008777e+05 Pr: 562883(4953.9); Du: 0(2.73236e-10) Update limit reached
DuPh2     689254    -8.3687008758e+05 Pr: 557884(4882.12); Du: 0(2.73236e-10) Update limit reached
DuPh2     694254    -8.3687008751e+05 Pr: 552897(4813.77); Du: 0(3.85001e-10) Update limit reached
DuPh2     699254    -8.3687008746e+05 Pr: 547952(4742.74); Du: 0(4.53238e-10) Update limit reached
DuPh2     704039    -8.3687008741e+05 Pr: 543209(4670.23); Du: 0(3.26158e-10) Synthetic clock
DuPh2     708552    -8.3687008737e+05 Pr: 538729(4606.1); Du: 0(2.59144e-10) Synthetic clock
DuPh2     713552    -8.3687008717e+05 Pr: 533744(4536.98); Du: 0(2.59144e-10) Update limit reached
DuPh2     718552    -8.3687008695e+05 Pr: 528743(4468); Du: 0(2.59144e-10) Update limit reached
DuPh2     723552    -8.3687008687e+05 Pr: 523776(4404.28); Du: 0(1.48991e-10) Update limit reached
DuPh2     728552    -8.3687008683e+05 Pr: 518828(4343.09); Du: 0(2.30731e-10) Update limit reached
DuPh2     733105    -8.3687008679e+05 Pr: 514304(4277.5); Du: 0(4.84629e-10) Synthetic clock
DuPh2     738105    -8.3687008674e+05 Pr: 509352(4216.72); Du: 0(2.43209e-10) Update limit reached
       Iteration        Objective     Infeasibilities num(sum)
DuPh2     743105    -8.3687008660e+05 Pr: 504353(4152.74); Du: 0(2.43209e-10) Update limit reached
DuPh2     748105    -8.3687008645e+05 Pr: 499355(4088.76); Du: 0(2.43209e-10) Update limit reached
DuPh2     753105    -8.3687008630e+05 Pr: 494355(4024); Du: 0(2.43209e-10) Update limit reached
DuPh2     758105    -8.3687008615e+05 Pr: 489360(3961.19); Du: 0(2.43209e-10) Update limit reached
DuPh2     763105    -8.3687008600e+05 Pr: 484360(3896.07); Du: 0(2.43209e-10) Update limit reached
DuPh2     768105    -8.3687008591e+05 Pr: 479363(3830.28); Du: 0(1.86071e-10) Update limit reached
DuPh2     773105    -8.3687008586e+05 Pr: 474398(3763.04); Du: 0(1.24006e-10) Update limit reached
DuPh2     778105    -8.3687008582e+05 Pr: 469445(3703.87); Du: 0(1.81149e-10) Update limit reached
DuPh2     783072    -8.3687008578e+05 Pr: 464511(3637.86); Du: 0(1.5941e-10) Synthetic clock
DuPh2     787883    -8.3687008568e+05 Pr: 459725(3579.24); Du: 0(2.17042e-10) Synthetic clock
DuPh2     792883    -8.3687008547e+05 Pr: 454730(3520.73); Du: 0(2.17042e-10) Update limit reached
DuPh2     797883    -8.3687008530e+05 Pr: 449737(3462.52); Du: 0(2.17042e-10) Update limit reached
DuPh2     802883    -8.3687008526e+05 Pr: 444762(3403.91); Du: 0(1.74239e-10) Update limit reached
DuPh2     807883    -8.3687008522e+05 Pr: 439803(3346.38); Du: 0(1.21005e-10) Update limit reached
DuPh2     812883    -8.3687008518e+05 Pr: 434818(3286.95); Du: 0(1.69305e-10) Update limit reached
DuPh2     817883    -8.3687008513e+05 Pr: 429857(3231.85); Du: 0(2.61221e-10) Update limit reached
DuPh2     822883    -8.3687008500e+05 Pr: 424859(3177.44); Du: 0(2.61221e-10) Update limit reached
DuPh2     827883    -8.3687008487e+05 Pr: 419861(3121.7); Du: 0(2.61221e-10) Update limit reached
DuPh2     832883    -8.3687008474e+05 Pr: 414862(3065.71); Du: 0(2.61221e-10) Update limit reached
DuPh2     837883    -8.3687008460e+05 Pr: 409863(3009.72); Du: 0(2.61221e-10) Update limit reached
DuPh2     842883    -8.3687008447e+05 Pr: 404862(2952.6); Du: 0(2.61221e-10) Update limit reached
DuPh2     847883    -8.3687008436e+05 Pr: 399861(2895.94); Du: 0(2.61221e-10) Update limit reached
DuPh2     852883    -8.3687008432e+05 Pr: 394885(2839.71); Du: 0(3.09065e-10) Update limit reached
DuPh2     857883    -8.3687008428e+05 Pr: 389925(2786.31); Du: 0(3.52454e-10) Update limit reached
DuPh2     862883    -8.3687008424e+05 Pr: 384958(2734.25); Du: 0(4.39041e-10) Update limit reached
DuPh2     867883    -8.3687008420e+05 Pr: 379993(2678.82); Du: 0(3.94259e-10) Update limit reached
DuPh2     872883    -8.3687008405e+05 Pr: 374994(2622.04); Du: 0(4.0644e-10) Update limit reached
DuPh2     877883    -8.3687008387e+05 Pr: 369994(2570.04); Du: 0(4.0644e-10) Update limit reached
DuPh2     882883    -8.3687008376e+05 Pr: 365002(2519.88); Du: 0(4.9619e-10) Update limit reached
DuPh2     887883    -8.3687008372e+05 Pr: 360032(2469.06); Du: 0(5.8703e-10) Update limit reached
DuPh2     892883    -8.3687008368e+05 Pr: 355075(2420.2); Du: 0(6.00414e-10) Update limit reached
DuPh2     897883    -8.3687008364e+05 Pr: 350075(2360.69); Du: 0(4.67059e-10) Update limit reached
DuPh2     902883    -8.3687008360e+05 Pr: 345105(2317.24); Du: 0(4.02272e-10) Update limit reached
DuPh2     907883    -8.3687008349e+05 Pr: 340108(2269.94); Du: 0(4.02272e-10) Update limit reached
DuPh2     912883    -8.3687008337e+05 Pr: 335109(2221.95); Du: 0(4.02272e-10) Update limit reached
DuPh2     917883    -8.3687008326e+05 Pr: 330110(2173.96); Du: 0(4.02272e-10) Update limit reached
DuPh2     922883    -8.3687008314e+05 Pr: 325110(2125.96); Du: 0(4.02272e-10) Update limit reached
DuPh2     927883    -8.3687008303e+05 Pr: 320113(2078.53); Du: 0(4.02272e-10) Update limit reached
DuPh2     932883    -8.3687008293e+05 Pr: 315115(2030.56); Du: 0(4.02272e-10) Update limit reached
DuPh2     937883    -8.3687008286e+05 Pr: 310128(1983.08); Du: 0(4.0664e-10) Update limit reached
DuPh2     942883    -8.3687008283e+05 Pr: 305149(1935.05); Du: 0(4.09553e-10) Update limit reached
DuPh2     947883    -8.3687008279e+05 Pr: 300180(1889.45); Du: 0(6.12665e-10) Update limit reached
DuPh2     952883    -8.3687008275e+05 Pr: 295200(1845.06); Du: 0(5.45287e-10) Update limit reached
DuPh2     957883    -8.3687008270e+05 Pr: 290225(1798.81); Du: 0(3.62531e-10) Update limit reached
DuPh2     962883    -8.3687008255e+05 Pr: 285229(1756.12); Du: 0(3.62531e-10) Update limit reached
DuPh2     967883    -8.3687008240e+05 Pr: 280233(1712.74); Du: 0(3.62531e-10) Update limit reached
DuPh2     972883    -8.3687008231e+05 Pr: 275245(1667.62); Du: 0(2.19862e-10) Update limit reached
DuPh2     977883    -8.3687008227e+05 Pr: 270266(1626.98); Du: 0(2.80038e-10) Update limit reached
DuPh2     982883    -8.3687008224e+05 Pr: 265296(1580.51); Du: 0(3.33097e-10) Update limit reached
DuPh2     987589    -8.3687008221e+05 Pr: 260603(1539.34); Du: 0(3.39288e-10) Synthetic clock
       Iteration        Objective     Infeasibilities num(sum)
DuPh2     992589    -8.3687008218e+05 Pr: 255629(1497.65); Du: 0(5.58974e-10) Update limit reached
DuPh2     997589    -8.3687008208e+05 Pr: 250629(1457.65); Du: 0(5.58974e-10) Update limit reached
DuPh2    1002589    -8.3687008198e+05 Pr: 245628(1417.07); Du: 0(5.58974e-10) Update limit reached
DuPh2    1007589    -8.3687008188e+05 Pr: 240627(1376.34); Du: 0(5.58974e-10) Update limit reached
DuPh2    1012589    -8.3687008178e+05 Pr: 235628(1335.22); Du: 0(5.58974e-10) Update limit reached
DuPh2    1017589    -8.3687008169e+05 Pr: 230632(1296.45); Du: 0(5.58974e-10) Update limit reached
DuPh2    1022589    -8.3687008159e+05 Pr: 225632(1256.45); Du: 0(5.58974e-10) Update limit reached
DuPh2    1027589    -8.3687008151e+05 Pr: 220633(1216.37); Du: 0(5.58974e-10) Update limit reached
DuPh2    1032589    -8.3687008148e+05 Pr: 215655(1179.75); Du: 0(4.73978e-10) Update limit reached
DuPh2    1037589    -8.3687008145e+05 Pr: 210672(1138.06); Du: 0(4.33726e-10) Update limit reached
DuPh2    1042589    -8.3687008142e+05 Pr: 205708(1101.78); Du: 0(3.70228e-10) Update limit reached
DuPh2    1047589    -8.3687008139e+05 Pr: 200717(1060.74); Du: 0(4.57433e-10) Update limit reached
DuPh2    1052589    -8.3687008129e+05 Pr: 195718(1024.45); Du: 0(4.68519e-10) Update limit reached
DuPh2    1057589    -8.3687008116e+05 Pr: 190716(987.231); Du: 0(4.68519e-10) Update limit reached
DuPh2    1062589    -8.3687008110e+05 Pr: 185728(953.034); Du: 0(5.81651e-10) Update limit reached
DuPh2    1067589    -8.3687008107e+05 Pr: 180746(917.213); Du: 0(6.13657e-10) Update limit reached
DuPh2    1072589    -8.3687008104e+05 Pr: 175753(880.995); Du: 0(2.8639e-10) Update limit reached
DuPh2    1077589    -8.3687008101e+05 Pr: 170777(847.027); Du: 0(2.52734e-10) Update limit reached
DuPh2    1082589    -8.3687008097e+05 Pr: 165783(815.816); Du: 0(2.70302e-10) Update limit reached
DuPh2    1087589    -8.3687008091e+05 Pr: 160783(783.816); Du: 0(2.70302e-10) Update limit reached
DuPh2    1092589    -8.3687008085e+05 Pr: 155785(751.865); Du: 0(2.70302e-10) Update limit reached
DuPh2    1097589    -8.3687008079e+05 Pr: 150785(719.865); Du: 0(2.70302e-10) Update limit reached
DuPh2    1102589    -8.3687008073e+05 Pr: 145787(687.89); Du: 0(2.70302e-10) Update limit reached
DuPh2    1107589    -8.3687008067e+05 Pr: 140787(655.89); Du: 0(2.70302e-10) Update limit reached
DuPh2    1112589    -8.3687008061e+05 Pr: 135787(623.89); Du: 0(2.70302e-10) Update limit reached
DuPh2    1117589    -8.3687008055e+05 Pr: 130788(591.897); Du: 0(2.70302e-10) Update limit reached
DuPh2    1122589    -8.3687008050e+05 Pr: 125788(559.897); Du: 0(2.70302e-10) Update limit reached
DuPh2    1127589    -8.3687008047e+05 Pr: 120793(528.453); Du: 0(2.78111e-10) Update limit reached
DuPh2    1132589    -8.3687008044e+05 Pr: 115801(494.267); Du: 0(2.61148e-10) Update limit reached
DuPh2    1137589    -8.3687008041e+05 Pr: 110822(463.952); Du: 0(3.66276e-10) Update limit reached
DuPh2    1142589    -8.3687008039e+05 Pr: 105829(431.661); Du: 0(5.74037e-10) Update limit reached
DuPh2    1147589    -8.3687008036e+05 Pr: 100849(405.476); Du: 0(6.83158e-10) Update limit reached
